,category,dev,dev_category,dev_loc,explain,org,purpose,regis_day,service,service_category,service_start,title
10,모바일앱 ( 안드로이드 ),Emotimemo,기타,서울특별시,"['미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스']",['한국환경공단'],한국환경공단의 공공데이터를 활용하여 미세먼지 정보를 제공합니다,2018-05-29,['대기오염정보 조회 서비스'],분류 : 환경기상,2018-05-11,미세먼지 PM10
11,모바일앱 ( 안드로이드 ),BradPark,기타,서울특별시,"['전국 공중화장실 정보(공중화장실장소, 개방시간 등)를 제공합니다.']",['공공데이터활용지원센터'],공공데이터활용지원센터의 공공데이터를 활용하여 공중화장실 정보를 제공합니다.,2018-05-29,['전국 공중화장실표준데이터'],분류 : 공공행정,2018-04-13,급똥
12,웹사이트 ( ),최진욱,기타,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.']",['한국관광공사'],한국관광공사의 공공데이터를 활용하여 여행 정보를 제공합니다.,2018-05-28,['국문 관광정보 서비스'],분류 : 문화관광,2018-05-28,국내 관광정보의 모든 것
13,모바일앱 ( 안드로이드 ),BUBU,중소기업 및 종사자,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.']",['한국관광공사'],한국관광공사의 공공데이터를 활용하여 도시 관광지 정보를 제공합니다.,2018-05-25,['국문 관광정보 서비스'],분류 : 문화관광,2018-02-23,도시탐험대
14,모바일앱 ( 안드로이드 ),rain5neyo,기타,서울특별시,[''],['기타'],경기데이터드림의 공공데이터를 활용하여 도서관 정보를 제공합니다.,2018-05-25,['경기데이터드림: 도서관 현황(개방표준)'],분류 : 교육,2018-03-22,"도서관 정보, 우리마을 도서관"
15,모바일앱 ( 안드로이드 ),경마톡,기타,경기도,"['한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 경주마들의 경주마 혈통정보 및 경주성적 상세정보 조회', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 경주에 출전한 경주마의 경주결과 세부결과 정보', '한국마사회에 경주마 등록을 마친 경주마의 기본정보 및 혈통관련 상세정보', '우리나라 전국에 운영중인 승마장의 위치 및 대표자 등 세부정보', '한국마사회에 승용마 등록을 마친 승용마의 기본정보 및 혈통관련 상세정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 해당일 실시한 새벽조교에 참가한 경주마의 훈련내용 세부정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 조교검사에 출전한 검사마의 주행심사 세부결과 정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행예정인 경주에 출전하기로 예정된 출주마의 출주번호, 기승기수 등의 세부정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 조교사(감독)들의 기본 신상정보 및 경주성적 상세정보 조회', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 기수들의 기본 신상정보 및 경주성적 상세정보 조회']","['한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회']",한국마사회의 공공데이터를 활용하여 경마정보를 제공합니다.,2018-05-25,"['경주마조회서비스', '경주성적표 조회 서비스', '등록마 조회 서비스', '승마장 조회 서비스', '승용마 조회 서비스', '일일훈련 조회 서비스', '주행심사결과 조회 서비스', '출전표 조회 서비스', '조교사정보 조회 서비스', '기수정보 조회 서비스']",분류 : 농축수산,2018-04-07,경마톡
16,모바일앱 ( 안드로이드 ),whY,기타,서울특별시,"['생활기상정보에 지진정보 중 지진정보문,지진정보문목록,지진해일통보문,지진해일통보문목록 정보를 조회하는 서비스입니다.\n\n* 2017.7.3 이후 지진속보문, 지진속보문목록이 삭제되고 지진정보문,지진정보문목록에 통합됨']",['기상청'],기상청의 공공데이터를 활용하여 지진 정보를 제공합니다.,2018-05-25,['지진정보조회서비스'],분류 : 환경기상,2017-12-08,지진노트
17,모바일앱 ( 안드로이드 ),esenmobile,기타,서울특별시,['노선별 버스의 현재 위치 정보를 조회한다'],['대전광역시'],대전광역시의 공공데이터를 활용하여 버스 정보를 제공합니다.,2018-05-24,['버스 위치정보 조회 서비스'],분류 : 교통물류,2018-05-15,대전버스
18,모바일앱 ( 안드로이드 ),소프트맨,기타,서울특별시,"['이뮤지엄에 홈페이지에 공개된 소장품의 목록을 다양한 구분 코드와 텍스트 검색으로 소장품 목록을 조회 하거나 소장품의 고유번호로 상세내용을 조회할 수 있는 API 서비스이며 요청하는 형식(accept: xml, json)에 따라 결과를 받을 수 있다.']",['문화체육관광부 국립중앙박물관'],문화체육관광부의 공공데이터를 활용하여 박물관 소장품 정보를 제공합니다.,2018-05-24,['이뮤지엄 소장품 조회 API 서비스'],분류 : 문화관광,2018-05-24,박물관 나들이
19,모바일앱 ( 안드로이드 ),StudyCafe.Tv,기타,서울특별시,"['TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스', '미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스']","['한국환경공단', '한국환경공단']",한국환경공단의 공공데이터를 활용하여 미세먼지 정보를 제공합니다,2018-05-24,"['측정소정보 조회 서비스', '대기오염정보 조회 서비스']",분류 : 환경기상,2018-04-02,미세 25시
20,웹사이트 ( ),도그웹(dogweb),중소기업 및 종사자,전라북도,['동물보호관리시스템의 유기동물 정보를 조회할 수 있다.'],['농림축산식품부 농림축산검역본부'],농림축산식품부의 공공데이터를 활용하여 유기동물 관련 정보를 제공합니다.,2018-05-24,['동물보호관리시스템 유기동물 조회 서비스'],분류 : 농축수산,2018-05-24,도그웹
21,모바일앱 ( 안드로이드 ),rain5neyo,기타,서울특별시,[''],['기타'],경기데이터드림의 공공데이터를 활용하여 무료와이파이 정보를 제공합니다.,2018-05-23,['경기데이터드림: 무료와이파이 현황(개방표준)'],분류 : 공공행정,2018-01-17,공공와이파이찾기
22,모바일앱 ( 안드로이드 ),헬스커넥트,중소기업 및 종사자,서울특별시,"['미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스']",['한국환경공단'],한국환경공단의 공공데이터를 활용하여 대기질 정보를 제공합니다.,2018-05-23,['대기오염정보 조회 서비스'],분류 : 환경기상,2018-03-06,후아후아
23,모바일앱 ( iOS ),DIT Apps,"학생(중, 고, 대학, 대학원)",부산광역시,"['전기자동차 보급 활성화 및 전기자동차 사용자를 위한 전국 급속충전기 운영현황 실시간 제공(충전소명, 위치, 상태정보, 운영시간)']",['한국환경공단'],한국환경공단의 공공데이터를 활용하여 제주 전기자동차 충전소 정보를 제공합니다.,2018-05-23,['전기자동차 공공충전소 현황'],분류 : 교통물류,2018-05-23,부산 전기차 충전소 어디?
24,모바일앱 ( 안드로이드 ),wsseo,기타,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.']",['한국관광공사'],한국관광공사의 공공데이터를 활용하여 관광지 정보를 제공합니다.,2018-05-23,['국문 관광정보 서비스'],분류 : 문화관광,2018-05-21,누비국내여행
25,모바일앱 ( 안드로이드 ),LEE SOOHEON,기타,서울특별시,"['중기예보정보는 기상전망, 육상예보, 기온, 해상예보 정보를 조회하는 서비스입니다.', '초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.', '미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스']","['기상청', '기상청', '한국환경공단']","한국환경공단, 기상청의 공공데이터를 활용하여 날씨 정보를 제공합니다.",2018-05-21,"['중기예보정보조회서비스', '(신)동네예보정보조회서비스', '대기오염정보 조회 서비스']",분류 : 환경기상,2018-05-19,미세뭐지?
26,모바일앱 ( 안드로이드 ),Citymapper Limited,중소기업 및 종사자,서울특별시,"['교통량 지점을 기준으로 지점 번호, 지점 명칭을 조회하는 교통량 지점 정보 서비스입니다.', '지점번호, 날짜, 시간을 기준으로 유입유출, 교통량을 조회하는 교통략 이력 정보 서비스입니다.', '소통, 돌발 교통을 기준으로 권역코드, 권역명을 조회하는 소통 돌발 교통 권역 정보 서비스입니다.']","['서울특별시', '서울특별시', '서울특별시']",서울시의 공공데이터를 활용하여 교통 정보를 제공합니다.,2018-05-21,"['서울시 교통량 지점 정보', '서울시 교통량 이력 정보', '서울시 소통 돌발 교통 권역 정보']",분류 : 교통물류,2018-05-14,Citymapper
27,모바일앱 ( 안드로이드 ),rain5neyo,기타,서울특별시,[''],['기타'],경기데이터드림의 공공데이터를 활용하여 교육 정보를 제공합니다.,2018-05-21,"['경기데이터드림: 여성교육강좌및강의, 평생학습강좌, 도서관 현황']",분류 : 교육,2018-01-17,경기도 교육정보
28,모바일앱 ( 안드로이드 ),sosulstar,기타,서울특별시,"['한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 경주마들의 경주마 혈통정보 및 경주성적 상세정보 조회', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 경주에 출전한 경주마의 경주결과 세부결과 정보', '한국마사회에 경주마 등록을 마친 경주마의 기본정보 및 혈통관련 상세정보', '우리나라 전국에 운영중인 승마장의 위치 및 대표자 등 세부정보', '한국마사회에 승용마 등록을 마친 승용마의 기본정보 및 혈통관련 상세정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 해당일 실시한 새벽조교에 참가한 경주마의 훈련내용 세부정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 조교검사에 출전한 검사마의 주행심사 세부결과 정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행예정인 경주에 출전하기로 예정된 출주마의 출주번호, 기승기수 등의 세부정보', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 조교사(감독)들의 기본 신상정보 및 경주성적 상세정보 조회', '한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 기수들의 기본 신상정보 및 경주성적 상세정보 조회']","['한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회', '한국마사회']",한국마사회의 공공데이터를 활용하여 경마정보를 제공합니다.,2018-05-21,"['경주마조회서비스', '경주성적표 조회 서비스', '등록마 조회 서비스', '승마장 조회 서비스', '승용마 조회 서비스', '일일훈련 조회 서비스', '주행심사결과 조회 서비스', '출전표 조회 서비스', '조교사정보 조회 서비스', '기수정보 조회 서비스']",분류 : 농축수산,2016-05-04,일번마_경마 데이터 분석
29,모바일앱 ( 안드로이드 ),Real Korea,기타,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.']","['한국관광공사', '한국관광공사']",한국관광공사의 공공데이터를 활용하여 여행 정보를 제공합니다.,2018-05-18,"['국문 관광정보 서비스', '영문 관광정보 서비스']",분류 : 문화관광,2018-04-25,On-Trip Korea
30,모바일앱 ( 안드로이드 ),KangBC,기타,서울특별시,"['미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스', '법정동의 경계구역을 표시한 정보']","['한국환경공단', '국토교통부']","한국환경공단, 국토교통부의 공공데이터를 활용하여 미세먼지 정보를 제공합니다.",2018-05-18,"['대기오염정보 조회 서비스', '법정구역정보조회서비스']",분류 : 환경기상,2017-08-09,서울경기미세먼지
31,모바일앱 ( 안드로이드 ),rain5neyo,기타,서울특별시,[''],['기타'],경기데이터드림의 공공데이터를 활용하여 공공화장실 정보를 제공합니다.,2018-05-18,['경기데이터드림: 공중화장실 현황(개방표준)'],분류 : 공공행정,2017-12-05,공공 화장실 찾기
32,모바일앱 ( iOS ),DIT Apps,"학생(중, 고, 대학, 대학원)",부산광역시,"['전기자동차 보급 활성화 및 전기자동차 사용자를 위한 전국 급속충전기 운영현황 실시간 제공(충전소명, 위치, 상태정보, 운영시간)']",['한국환경공단'],한국환경공단의 공공데이터를 활용하여 제주 전기자동차 충전소 정보를 제공합니다.,2018-05-17,['전기자동차 공공충전소 현황'],분류 : 교통물류,2018-05-17,제주 전기차 충전소
33,모바일앱 ( 안드로이드 ),YEAHH,기타,서울특별시,"['미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스', 'TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스']","['한국환경공단', '한국환경공단']",한국환경공단의 공공데이터를 활용하여 미세먼지 정보를 제공합니다,2018-05-17,"['대기오염정보 조회 서비스', '측정소정보 조회 서비스']",분류 : 환경기상,2018-03-09,미세먼지 완전정복
34,모바일앱 ( 안드로이드 ),PamilyGame,기타,서울특별시,"['질병관리본부에서 제공하는 경기도 내의 시군별 어린이 국가 예방접종지정 의료기관에 대한 시설명, 전화번호, 지정일자, 소재지주소 등의 현황입니다.', '경기도 내의 시군별 어린이집 및 유치원에 대한 시설명, 전화번호, 소재지주소 등의 현황입니다.', '어린이와 그 보호자(주류포함)를 대상으로 음식을 판매하는 업소 사업장명, 인허가일자, 소재지 위치정보드의 정보를 제공합니다.']","['경기도', '경기도', '경기도']",경기도의 공공데이터를 활용하여 유아 편의시설 정보를 제공합니다.,2018-05-17,"['어린이 국가 예방접종 지정의료기관 현황', '어린이집및유치원 현황', '키즈카페 현황']",분류 : 사회복지,2017-11-01,경기도의 유아들
35,모바일앱 ( 안드로이드 ),소나무,기타,서울특별시,"['초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.']",['기상청'],기상청의 공공데이터를 활용하여 기상정보를 제공합니다.,2018-05-16,['(신)동네예보정보조회서비스'],분류 : 환경기상,2015-06-27,BeachCHAT(비치챗)
36,모바일앱 ( 안드로이드 ),FIND PANG,기타,서울특별시,[''],['기타'],"산업통상자원부, 제품안전정보센터의 공공데이터를 활용하여 제품 리콜 정보를 제공합니다.",2018-05-16,['제품안전정보센터: 제품 리콜정보'],분류 : 산업고용,2017-11-20,국민리콜
37,모바일앱 ( 안드로이드 ),수수료 없는 ZERO매물,중소기업 및 종사자,서울특별시,"['부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스']",['국토교통부'],국토교통부의 공공데이터를 활용하여 아파트 전월세 정보를 제공합니다.,2018-05-15,['아파트 전월세 자료'],분류 : 국토관리,2018-04-19,피터팬의 좋은방 구하기
38,모바일앱 ( 안드로이드 ),Hi App's,기타,서울특별시,"['인천광역시 버스정류소의 ID, 정류소, 승강장 유형, 표지판 유형, 노선번호 등을 알 수 있습니다.', '인천광역시 시내버스 노선, 경유지, 종점, 첫차막차 출발시간, 운행간격, 운행시간 등을 알 수 있습니다', '인천광역시 광역버스 노선번호, 기점, 정류소, 종점, 운행간격 등을 알 수 있습니다.', '인천광역시 버스노선별 정류장 명칭 및 아이디, 좌표 등을 제공합니다.']","['인천광역시', '인천광역시', '인천광역시', '인천광역시']",인천광역시의 공공데이터를 활용하여 버스 정보를 제공합니다.,2018-05-15,"['인천광역시 버스정류소 현황(2017.04.26)', '인천광역시 시내버스 노선현황(2017.03.31)', '인천광역시 광역버스 노선 현황(2017.03.31)', '인천광역시 버스노선별 정류장 현황(2018.2.1.)']",분류 : 교통물류,2018-01-10,인천버스
39,모바일앱 ( 안드로이드 ),Novus3P,기타,인천광역시,"['초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.']",['기상청'],기상청의 공공데이터를 활용하여 기상정보를 제공합니다.,2018-05-14,['(신)동네예보정보조회서비스'],분류 : 환경기상,2017-08-02,코어웨더 2.0
40,모바일앱 ( 안드로이드 ),TAEHYUNG,중소기업 및 종사자,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 노어로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 서어로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 불어로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 독어로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 번체로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.', '코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 일문으로 제공한다.']","['한국관광공사', '한국관광공사', '한국관광공사', '한국관광공사', '한국관광공사', '한국관광공사', '한국관광공사', '한국관광공사', '한국관광공사']",한국관광공사의 공공데이터를 활용하여 관광지 정보를 제공합니다.,2018-05-14,"['국문 관광정보 서비스', '노어 관광정보 서비스', '서어 관광정보 서비스', '불어 관광정보 서비스', '독어 관광정보 서비스', '중문 번체 관광정보 서비스', '중문 간체 관광정보 서비스', '영문 관광정보 서비스', '일문 관광정보 서비스']",분류 : 문화관광,2018-01-31,KOREA CARD
41,모바일앱 ( 안드로이드 ),malang,중소기업 및 종사자,서울특별시,"['전국 및 지방자치단체 시내버스의 실시간 위치정보를 버스 노선별, 노선 정류소별로 조회한다.\n시내버스 정류장정보, 노선정보, 도착예정정보, 노선운행정보, 위치정보 테이블에 실시간 정보로 제공된다.', '전국 및 지방자치단체 시내버스 노선 정보를 정류장정보 테이블의 정보를 활용하여 제공하며, 노선번호 목록, 노선별경유 정류소 목록, 노선정보항목 등을 조회할 수 있다.']","['국토교통부', '국토교통부']",국토교통부의 공공데이터를 활용하여 버스 정보를 제공합니다.,2018-05-14,"['버스위치정보조회서비스', '버스노선정보조회서비스']",분류 : 교통물류,2018-01-25,세종버스
42,모바일앱 ( 안드로이드 ),크레도웨이,중소기업 및 종사자,서울특별시,['건강보험심사평가원에서 관리하는 의료기관별 상세정보를 조회하는 서비스'],['건강보험심사평가원'],건강보험심사평가원의 공공데이터를 활용하여 병원 정보를 제공합니다.,2018-05-11,['의료기관별상세정보서비스'],분류 : 보건의료,2018-03-21,파도플러스
43,모바일앱 ( 안드로이드 ),momu,기타,서울특별시,"['미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스']",['한국환경공단'],한국환경공단의 공공데이터를 활용하여 미세먼지 정보를 제공합니다.,2018-05-11,['대기오염정보 조회 서비스'],분류 : 환경기상,2018-02-04,미세한
44,모바일앱 ( 안드로이드 ),HanbitSoft Inc,중소기업 및 종사자,서울특별시,"['코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.']",['한국관광공사'],한국관광공사의 공공데이터를 활용하여 관광지 명소 정보를 제공합니다.,2018-05-11,['국문 관광정보 서비스'],분류 : 문화관광,2018-04-19,역사탐험대AR
45,모바일앱 ( 안드로이드 ),CACcompany,중소기업 및 종사자,서울특별시,"['부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스', '부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스', '건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적, 오수정화시설, 주택가격, 전유부, 지역지구구역 등 정보를 제공한다.']","['국토교통부', '국토교통부', '국토교통부']",국토교통부의 공공데이터를 활용하여 연립다세대 실거래 정보를 제공합니다.,2018-05-10,"['연립다세대 매매 실거래자료', '연립다세대 전월세 자료', '건축물대장정보 서비스']",분류 : 국토관리,2016-05-30,집나와
