explain,org,service
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스",국토교통부,연립다세대 전월세 자료
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"전국 공중화장실 정보(공중화장실장소, 개방시간 등)를 제공합니다.",공공데이터활용지원센터,전국 공중화장실표준데이터
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
,기타,경기데이터드림: 도서관 현황(개방표준)
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 경주마들의 경주마 혈통정보 및 경주성적 상세정보 조회",한국마사회,경주마조회서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 경주에 출전한 경주마의 경주결과 세부결과 정보",한국마사회,경주성적표 조회 서비스
한국마사회에 경주마 등록을 마친 경주마의 기본정보 및 혈통관련 상세정보,한국마사회,등록마 조회 서비스
우리나라 전국에 운영중인 승마장의 위치 및 대표자 등 세부정보,한국마사회,승마장 조회 서비스
한국마사회에 승용마 등록을 마친 승용마의 기본정보 및 혈통관련 상세정보,한국마사회,승용마 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 해당일 실시한 새벽조교에 참가한 경주마의 훈련내용 세부정보",한국마사회,일일훈련 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 조교검사에 출전한 검사마의 주행심사 세부결과 정보",한국마사회,주행심사결과 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행예정인 경주에 출전하기로 예정된 출주마의 출주번호, 기승기수 등의 세부정보",한국마사회,출전표 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 조교사(감독)들의 기본 신상정보 및 경주성적 상세정보 조회",한국마사회,조교사정보 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 기수들의 기본 신상정보 및 경주성적 상세정보 조회",한국마사회,기수정보 조회 서비스
"생활기상정보에 지진정보 중 지진정보문,지진정보문목록,지진해일통보문,지진해일통보문목록 정보를 조회하는 서비스입니다.

* 2017.7.3 이후 지진속보문, 지진속보문목록이 삭제되고 지진정보문,지진정보문목록에 통합됨",기상청,지진정보조회서비스
노선별 버스의 현재 위치 정보를 조회한다,대전광역시,버스 위치정보 조회 서비스
"이뮤지엄에 홈페이지에 공개된 소장품의 목록을 다양한 구분 코드와 텍스트 검색으로 소장품 목록을 조회 하거나 소장품의 고유번호로 상세내용을 조회할 수 있는 API 서비스이며 요청하는 형식(accept: xml, json)에 따라 결과를 받을 수 있다.",문화체육관광부 국립중앙박물관,이뮤지엄 소장품 조회 API 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,동물보호관리시스템 유기동물 조회 서비스
,기타,경기데이터드림: 무료와이파이 현황(개방표준)
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"전기자동차 보급 활성화 및 전기자동차 사용자를 위한 전국 급속충전기 운영현황 실시간 제공(충전소명, 위치, 상태정보, 운영시간)",한국환경공단,전기자동차 공공충전소 현황
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"중기예보정보는 기상전망, 육상예보, 기온, 해상예보 정보를 조회하는 서비스입니다.",기상청,중기예보정보조회서비스
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"교통량 지점을 기준으로 지점 번호, 지점 명칭을 조회하는 교통량 지점 정보 서비스입니다.",서울특별시,서울시 교통량 지점 정보
"지점번호, 날짜, 시간을 기준으로 유입유출, 교통량을 조회하는 교통략 이력 정보 서비스입니다.",서울특별시,서울시 교통량 이력 정보
"소통, 돌발 교통을 기준으로 권역코드, 권역명을 조회하는 소통 돌발 교통 권역 정보 서비스입니다.",서울특별시,서울시 소통 돌발 교통 권역 정보
,기타,"경기데이터드림: 여성교육강좌및강의, 평생학습강좌, 도서관 현황"
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 경주마들의 경주마 혈통정보 및 경주성적 상세정보 조회",한국마사회,경주마조회서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 경주에 출전한 경주마의 경주결과 세부결과 정보",한국마사회,경주성적표 조회 서비스
한국마사회에 경주마 등록을 마친 경주마의 기본정보 및 혈통관련 상세정보,한국마사회,등록마 조회 서비스
우리나라 전국에 운영중인 승마장의 위치 및 대표자 등 세부정보,한국마사회,승마장 조회 서비스
한국마사회에 승용마 등록을 마친 승용마의 기본정보 및 혈통관련 상세정보,한국마사회,승용마 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 해당일 실시한 새벽조교에 참가한 경주마의 훈련내용 세부정보",한국마사회,일일훈련 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 조교검사에 출전한 검사마의 주행심사 세부결과 정보",한국마사회,주행심사결과 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행예정인 경주에 출전하기로 예정된 출주마의 출주번호, 기승기수 등의 세부정보",한국마사회,출전표 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 조교사(감독)들의 기본 신상정보 및 경주성적 상세정보 조회",한국마사회,조교사정보 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 활동중인 기수들의 기본 신상정보 및 경주성적 상세정보 조회",한국마사회,기수정보 조회 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
법정동의 경계구역을 표시한 정보,국토교통부,법정구역정보조회서비스
,기타,경기데이터드림: 공중화장실 현황(개방표준)
"전기자동차 보급 활성화 및 전기자동차 사용자를 위한 전국 급속충전기 운영현황 실시간 제공(충전소명, 위치, 상태정보, 운영시간)",한국환경공단,전기자동차 공공충전소 현황
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
"질병관리본부에서 제공하는 경기도 내의 시군별 어린이 국가 예방접종지정 의료기관에 대한 시설명, 전화번호, 지정일자, 소재지주소 등의 현황입니다.",경기도,어린이 국가 예방접종 지정의료기관 현황
"경기도 내의 시군별 어린이집 및 유치원에 대한 시설명, 전화번호, 소재지주소 등의 현황입니다.",경기도,어린이집및유치원 현황
"어린이와 그 보호자(주류포함)를 대상으로 음식을 판매하는 업소 사업장명, 인허가일자, 소재지 위치정보드의 정보를 제공합니다.",경기도,키즈카페 현황
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
,기타,제품안전정보센터: 제품 리콜정보
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
"인천광역시 버스정류소의 ID, 정류소, 승강장 유형, 표지판 유형, 노선번호 등을 알 수 있습니다.",인천광역시,인천광역시 버스정류소 현황(2017.04.26)
"인천광역시 시내버스 노선, 경유지, 종점, 첫차막차 출발시간, 운행간격, 운행시간 등을 알 수 있습니다",인천광역시,인천광역시 시내버스 노선현황(2017.03.31)
"인천광역시 광역버스 노선번호, 기점, 정류소, 종점, 운행간격 등을 알 수 있습니다.",인천광역시,인천광역시 광역버스 노선 현황(2017.03.31)
"인천광역시 버스노선별 정류장 명칭 및 아이디, 좌표 등을 제공합니다.",인천광역시,인천광역시 버스노선별 정류장 현황(2018.2.1.)
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 노어로 제공한다.",한국관광공사,노어 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 서어로 제공한다.",한국관광공사,서어 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 불어로 제공한다.",한국관광공사,불어 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 독어로 제공한다.",한국관광공사,독어 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 번체로 제공한다.",한국관광공사,중문 번체 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.",한국관광공사,중문 간체 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 일문으로 제공한다.",한국관광공사,일문 관광정보 서비스
"전국 및 지방자치단체 시내버스의 실시간 위치정보를 버스 노선별, 노선 정류소별로 조회한다.
시내버스 정류장정보, 노선정보, 도착예정정보, 노선운행정보, 위치정보 테이블에 실시간 정보로 제공된다.",국토교통부,버스위치정보조회서비스
"전국 및 지방자치단체 시내버스 노선 정보를 정류장정보 테이블의 정보를 활용하여 제공하며, 노선번호 목록, 노선별경유 정류소 목록, 노선정보항목 등을 조회할 수 있다.",국토교통부,버스노선정보조회서비스
건강보험심사평가원에서 관리하는 의료기관별 상세정보를 조회하는 서비스,건강보험심사평가원,의료기관별상세정보서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스",국토교통부,연립다세대 전월세 자료
"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적, 오수정화시설, 주택가격, 전유부, 지역지구구역 등 정보를 제공한다.",국토교통부,건축물대장정보 서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,동물보호관리시스템 유기동물 조회 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"각 측정소별 확정농도 정보와 기간별(연별,월별,일자별) 통계수치 정보를 조회하는 대기오염통계 서비스",한국환경공단,대기오염통계 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
,기타,서울 열린데이터광장 : 서울시 지하철 실시간 정보
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
"각종 기상자료를 응용하여 일반 국민의 일상생활 및 보건에 활용할 수 있도록 생산된 정보인 생활기상지수( 부패지수, 체감온도 등)를 특정위치(지점번호)별로 조회할 수 있는 서비스 입니다.
*산불위험지수, 실효습도, 황사영향지수는 서비스 되지 않습니다.",기상청,(신)생활기상지수조회
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"부산광역시 공중화장실의 관리기관, 개방시간, 연락처, 화장실명 등 정보 제공",부산광역시,부산광역시 공중화장실정보
,기타,서울 열린데이터광장 : 서울시 공공와이파이 위치정보
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"전기자동차 보급 활성화 및 전기자동차 사용자를 위한 전국 급속충전기 운영현황 실시간 제공(충전소명, 위치, 상태정보, 운영시간)",한국환경공단,전기자동차 공공충전소 현황
지역명/충전소명 등을 기준으로 전기차충전소 위치(상세주소)를 조회하는 전기차충전소정보 조회 서비스,한국전력공사,전기차충전소정보 조회 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
건강보험심사평가원에서 관리하는 약국 정보를 조회할 수 있는 서비스,건강보험심사평가원,약국정보서비스
건강보험심사평가원에서 관리하는 의료기관별 상세정보를 조회하는 서비스,건강보험심사평가원,의료기관별상세정보서비스
건강보험심사평가원에서 관리하는 병원 정보를 조회하는 서비스,건강보험심사평가원,병원정보서비스
,기타,국가산업단지: 산업동향 및 통계자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
매년 1월 1일을 기준으로 표준지의 단위면적당 가격정보,국토교통부,표준지공시지가정보서비스
표준지공시지가를 기준으로 산정한 개별토지의 단위면적당 가격정보,국토교통부,개별공시지가정보서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"나라장터에 등록된 조달업체와 수요기관에 대한 정보를 제공하는 서비스로 조달업체정보에는 사업자등록번호, 업체명, 업체주소, 업체의 등록업종정보, 업체의 공급물품정보가 포함되며 수요기관정보에는 수요기관코드(행자부코드가 기본으로 제공되며 행자부코드가 없을 경우 나라장터 수요기관코드가 제공됨), 소관구분, 주소, 최상위기관코드, 최상위기관명 등이 포함됨",조달청,나라장터 사용자정보서비스
"수요기관 또는 지방청으로부터 나라장터를 통하여 받은 조달요청 정보를 제공하는 서비스로 물품, 공사, 용역, 외자 등 업무 구분별로 조달요청번호, 계약체결형태명, 대표납품장소, 발주기관 내역 정보를 제공",조달청,나라장터 조달요청서비스
"나라장터에서 체결된 계약정보목록을 물품, 외자, 공사, 용역의각 업무별로 제공하는 서비스로, 각 업무별 계약상세정보, 계약변경이력정보, 계약삭제이력정보를 제공. 또한, 나라장터 검색조건인 계약체결일자, 확정계약번호, 요청번호, 공고번호, 기관명(계약기관, 수요기관), 품명, 계약방법, 계약참조번호에 따른 계약현황정보를 제공",조달청,나라장터 계약정보서비스
"조달청의 나라장터에서 제공하는 물품, 용역, 공사, 외자 입찰공고목록, 입찰공고상세정보, 기초금액정보, 면허제한정보, 참가가능지역정보, 입찰공고 변경이력를 제공하며 나라장터 입찰공고 검색조건으로도 업무별 입찰공고 정보를 제공하는 서비스",조달청,나라장터 입찰공고정보서비스
"나라장터 개찰결과를 물품, 공사, 용역, 외자의 업무별로 제공하는 서비스로 각 업무별로 최종낙찰자, 개찰순위, 복수예비가 및 예비가격 정보를 제공하며 개찰완료목록, 재입찰목록, 유찰목록 또한 제공",조달청,나라장터 낙찰정보서비스
"나라장터 제공되는 계약과정통합공개를 구현한 서비스로 물품,외자,용역,공사 업무구분에 대하여 사용자가 [입찰공고번호,사전규격등록번호,발주계획번호,조달요청번호] 중 한 번호를 알고 있는 경우 해당 입찰공고의 진행과정 정보(사전규격정보,입찰공고정보,낙찰정보,계약정보 등)를 조회하는 서비스",조달청,나라장터 계약과정통합공개서비스
나라장터 업종 및 근거법규를 조회하는 서비스 법제처가 분류하고 있는 법 분야에 따라 업종이 분류되어 있으며 법 분야별로 업종을 코드화하여 제공,조달청,나라장터 업종 및 근거법규서비스
"누리장터에 등록된 민간입찰공고정보를 제공하는 서비스로 용역, 물품, 공사, 기타 업무로 구분하여 입찰공고번호, 게시일시, 공고명, 입찰방식명, 개찰일시, 기준금액, 공고규격서, 아파트정보 등의 정보를 제공",조달청,누리장터 민간입찰공고서비스
"조달청에서 고시하는 물품에 대한 내용연수 정보(물품분류번호, 품명, 내용연수)를 제공하는 조달청물품관리서비스",조달청,조달청 물품관리정보서비스
조달청 목록정보시스템(http://www.g2b.go.kr:8100/index.jsp)에서 제공하는 물품분류정보를 제공하는 서비스,조달청,조달청 물품목록정보서비스
"나라장터를 포함 24개 전자조달시스템에서 체결한 전자계약정보와 비전자계약정보를 수집하여 전체 공공조달 규모를 파악할 수 있도록 공공조달통계 정보를 제공하는 서비스로 검색조건을 기준년도, 기준년월 범위로 전체 조달실적, 계약방법별 현황, 지역제한 현황, 기관구분별 조달현황, 기업구분별 조달현황, 계약방법별 조달현황, 수요기관별 기업구분별 실적, 수요기관별 업무대상별 실적, 수요기관별 시스템유형별 실적, 조달기업별 계약방법별 실적, 조달기업별 업무대상별 실적, 품목 및 서비스별 실적을 각 유형별로 조회할 수 있음",조달청,공공조달통계정보서비스
"건설업체 등록, 변경, 양도, 합병, 상속, 행정처분등의 정보를 제공합니다.",국토교통부,키스콘 건설업체정보 서비스
"한전SRM을 통해 진행되는 입찰정보를 조회하는 서비스로 회사구분코드와 조회기준일자를 입력하면 공고번호, 입찰건명, 공고일등의 정보를 출력하여 조회하는 입찰 정보조회 서비스",한국전력공사,입찰정보 조회 서비스
"사업자등록번호, 기업구분, 상시/특정 근로자수, 발급정보 등의 중소기업 인증정보를 조회하는 서비스",중소기업중앙회,중소기업 인증정보 조회 서비스
"입찰공고일을 이용하여 공고번호, 공고건명, 담당지역, 추정가격, 부가가치세, 기초금액 등을 조회하는 입찰공고정보 조회서비스",한국토지주택공사,입찰공고정보
"계약체결일을 이용하여 계약번호, 계약건명, 계약금액, 계약방법 등을 조회하는 계약현황정보 조회 서비스",한국토지주택공사,계약현황정보
"방위사업청 국방전자조달시스템(http://www.d2b.go.kr)에서 제공하는 국내/국외/시설공사의 입찰공고 정보(입찰명, 발주기관, 공고번호, 계약방법등)를 Open API로 제공",방위사업청,군수품조달정보 입찰공고서비스
방위사업청 군수품조달정보 Open API에서 사용하는 코드의 코드명을 조회하는 서비스.,방위사업청,군수품조달정보 코드조회서비스
