,start,end,title,service_category,start_org,end_org
19,경주마조회서비스,등록마 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
20,경주마조회서비스,승마장 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
21,경주마조회서비스,승용마 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
22,경주마조회서비스,일일훈련 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
23,경주마조회서비스,주행심사결과 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
24,경주마조회서비스,출전표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
25,경주마조회서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
26,경주마조회서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
27,경주성적표 조회 서비스,등록마 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
28,경주성적표 조회 서비스,승마장 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
29,경주성적표 조회 서비스,승용마 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
30,경주성적표 조회 서비스,일일훈련 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
31,경주성적표 조회 서비스,주행심사결과 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
32,경주성적표 조회 서비스,출전표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
33,경주성적표 조회 서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
34,경주성적표 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
35,등록마 조회 서비스,승마장 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
36,등록마 조회 서비스,승용마 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
37,등록마 조회 서비스,일일훈련 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
38,등록마 조회 서비스,주행심사결과 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
39,등록마 조회 서비스,출전표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
40,등록마 조회 서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
41,등록마 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
42,승마장 조회 서비스,승용마 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
43,승마장 조회 서비스,일일훈련 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
44,승마장 조회 서비스,주행심사결과 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
45,승마장 조회 서비스,출전표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
46,승마장 조회 서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
47,승마장 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
48,승용마 조회 서비스,일일훈련 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
49,승용마 조회 서비스,주행심사결과 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
50,승용마 조회 서비스,출전표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
51,승용마 조회 서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
52,승용마 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
53,일일훈련 조회 서비스,주행심사결과 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
54,일일훈련 조회 서비스,출전표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
55,일일훈련 조회 서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
56,일일훈련 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
57,주행심사결과 조회 서비스,출전표 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
58,주행심사결과 조회 서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
59,주행심사결과 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
60,출전표 조회 서비스,조교사정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
61,출전표 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
62,조교사정보 조회 서비스,기수정보 조회 서비스,경마톡,농축수산,한국마사회,한국마사회
63,측정소정보 조회 서비스,대기오염정보 조회 서비스,미세 25시,환경기상,한국환경공단,한국환경공단
64,중기예보정보조회서비스,(신)동네예보정보조회서비스,미세뭐지?,환경기상,기상청,기상청
65,중기예보정보조회서비스,대기오염정보 조회 서비스,미세뭐지?,환경기상,기상청,한국환경공단
66,(신)동네예보정보조회서비스,대기오염정보 조회 서비스,미세뭐지?,환경기상,기상청,한국환경공단
67,서울시 교통량 지점 정보,서울시 교통량 이력 정보,Citymapper,교통물류,서울특별시,서울특별시
68,서울시 교통량 지점 정보,서울시 소통 돌발 교통 권역 정보,Citymapper,교통물류,서울특별시,서울특별시
69,서울시 교통량 이력 정보,서울시 소통 돌발 교통 권역 정보,Citymapper,교통물류,서울특별시,서울특별시
70,경주마조회서비스,경주성적표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
71,경주마조회서비스,등록마 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
72,경주마조회서비스,승마장 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
73,경주마조회서비스,승용마 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
74,경주마조회서비스,일일훈련 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
75,경주마조회서비스,주행심사결과 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
76,경주마조회서비스,출전표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
77,경주마조회서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
78,경주마조회서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
79,경주성적표 조회 서비스,등록마 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
80,경주성적표 조회 서비스,승마장 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
81,경주성적표 조회 서비스,승용마 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
82,경주성적표 조회 서비스,일일훈련 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
83,경주성적표 조회 서비스,주행심사결과 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
84,경주성적표 조회 서비스,출전표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
85,경주성적표 조회 서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
86,경주성적표 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
87,등록마 조회 서비스,승마장 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
88,등록마 조회 서비스,승용마 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
89,등록마 조회 서비스,일일훈련 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
90,등록마 조회 서비스,주행심사결과 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
91,등록마 조회 서비스,출전표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
92,등록마 조회 서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
93,등록마 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
94,승마장 조회 서비스,승용마 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
95,승마장 조회 서비스,일일훈련 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
96,승마장 조회 서비스,주행심사결과 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
97,승마장 조회 서비스,출전표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
98,승마장 조회 서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
99,승마장 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
100,승용마 조회 서비스,일일훈련 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
101,승용마 조회 서비스,주행심사결과 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
102,승용마 조회 서비스,출전표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
103,승용마 조회 서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
104,승용마 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
105,일일훈련 조회 서비스,주행심사결과 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
106,일일훈련 조회 서비스,출전표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
107,일일훈련 조회 서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
108,일일훈련 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
109,주행심사결과 조회 서비스,출전표 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
110,주행심사결과 조회 서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
111,주행심사결과 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
112,출전표 조회 서비스,조교사정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
113,출전표 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
114,조교사정보 조회 서비스,기수정보 조회 서비스,일번마_경마 데이터 분석,농축수산,한국마사회,한국마사회
115,국문 관광정보 서비스,영문 관광정보 서비스,On-Trip Korea,문화관광,한국관광공사,한국관광공사
116,대기오염정보 조회 서비스,법정구역정보조회서비스,서울경기미세먼지,환경기상,한국환경공단,국토교통부
117,대기오염정보 조회 서비스,측정소정보 조회 서비스,미세먼지 완전정복,환경기상,한국환경공단,한국환경공단
118,어린이 국가 예방접종 지정의료기관 현황,어린이집및유치원 현황,경기도의 유아들,사회복지,경기도,경기도
119,어린이 국가 예방접종 지정의료기관 현황,키즈카페 현황,경기도의 유아들,사회복지,경기도,경기도
120,어린이집및유치원 현황,키즈카페 현황,경기도의 유아들,사회복지,경기도,경기도
121,인천광역시 버스정류소 현황(2017.04.26),인천광역시 시내버스 노선현황(2017.03.31),인천버스,교통물류,인천광역시,인천광역시
122,인천광역시 버스정류소 현황(2017.04.26),인천광역시 광역버스 노선 현황(2017.03.31),인천버스,교통물류,인천광역시,인천광역시
123,인천광역시 버스정류소 현황(2017.04.26),인천광역시 버스노선별 정류장 현황(2018.2.1.),인천버스,교통물류,인천광역시,인천광역시
124,인천광역시 시내버스 노선현황(2017.03.31),인천광역시 광역버스 노선 현황(2017.03.31),인천버스,교통물류,인천광역시,인천광역시
125,인천광역시 시내버스 노선현황(2017.03.31),인천광역시 버스노선별 정류장 현황(2018.2.1.),인천버스,교통물류,인천광역시,인천광역시
126,인천광역시 광역버스 노선 현황(2017.03.31),인천광역시 버스노선별 정류장 현황(2018.2.1.),인천버스,교통물류,인천광역시,인천광역시
127,국문 관광정보 서비스,노어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
128,국문 관광정보 서비스,서어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
129,국문 관광정보 서비스,불어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
130,국문 관광정보 서비스,독어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
131,국문 관광정보 서비스,중문 번체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
132,국문 관광정보 서비스,중문 간체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
133,국문 관광정보 서비스,영문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
134,국문 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
135,노어 관광정보 서비스,서어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
136,노어 관광정보 서비스,불어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
137,노어 관광정보 서비스,독어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
138,노어 관광정보 서비스,중문 번체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
139,노어 관광정보 서비스,중문 간체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
140,노어 관광정보 서비스,영문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
141,노어 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
142,서어 관광정보 서비스,불어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
143,서어 관광정보 서비스,독어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
144,서어 관광정보 서비스,중문 번체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
145,서어 관광정보 서비스,중문 간체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
146,서어 관광정보 서비스,영문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
147,서어 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
148,불어 관광정보 서비스,독어 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
149,불어 관광정보 서비스,중문 번체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
150,불어 관광정보 서비스,중문 간체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
151,불어 관광정보 서비스,영문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
152,불어 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
153,독어 관광정보 서비스,중문 번체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
154,독어 관광정보 서비스,중문 간체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
155,독어 관광정보 서비스,영문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
156,독어 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
157,중문 번체 관광정보 서비스,중문 간체 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
158,중문 번체 관광정보 서비스,영문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
159,중문 번체 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
160,중문 간체 관광정보 서비스,영문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
161,중문 간체 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
162,영문 관광정보 서비스,일문 관광정보 서비스,KOREA CARD,문화관광,한국관광공사,한국관광공사
163,버스위치정보조회서비스,버스노선정보조회서비스,세종버스,교통물류,국토교통부,국토교통부
164,연립다세대 매매 실거래자료,연립다세대 전월세 자료,집나와,국토관리,국토교통부,국토교통부
165,연립다세대 매매 실거래자료,건축물대장정보 서비스,집나와,국토관리,국토교통부,국토교통부
166,연립다세대 전월세 자료,건축물대장정보 서비스,집나와,국토관리,국토교통부,국토교통부
167,대기오염정보 조회 서비스,(신)동네예보정보조회서비스,날찌,환경기상,한국환경공단,기상청
168,국문 관광정보 서비스,영문 관광정보 서비스,Trip Inside,문화관광,한국관광공사,한국관광공사
169,(신)동네예보정보조회서비스,대기오염정보 조회 서비스,킁킁이,환경기상,기상청,한국환경공단
170,(신)동네예보정보조회서비스,대기오염통계 서비스,킁킁이,환경기상,기상청,한국환경공단
171,(신)동네예보정보조회서비스,측정소정보 조회 서비스,킁킁이,환경기상,기상청,한국환경공단
172,대기오염정보 조회 서비스,대기오염통계 서비스,킁킁이,환경기상,한국환경공단,한국환경공단
173,대기오염정보 조회 서비스,측정소정보 조회 서비스,킁킁이,환경기상,한국환경공단,한국환경공단
174,대기오염통계 서비스,측정소정보 조회 서비스,킁킁이,환경기상,한국환경공단,한국환경공단
175,국문 관광정보 서비스,영문 관광정보 서비스,Koing,문화관광,한국관광공사,한국관광공사
176,아파트매매 실거래자료,단독/다가구 매매 실거래 자료,부동산 실거래가 조회,국토관리,국토교통부,국토교통부
177,(신)동네예보정보조회서비스,(신)생활기상지수조회,"체감온도, 체감날씨",환경기상,기상청,기상청
178,전기자동차 공공충전소 현황,전기차충전소정보 조회 서비스,PlugStation,환경기상,한국환경공단,한국전력공사
179,약국정보서비스,의료기관별상세정보서비스,좋은병원,보건의료,건강보험심사평가원,건강보험심사평가원
180,약국정보서비스,병원정보서비스,좋은병원,보건의료,건강보험심사평가원,건강보험심사평가원
181,의료기관별상세정보서비스,병원정보서비스,좋은병원,보건의료,건강보험심사평가원,건강보험심사평가원
182,아파트매매 실거래자료,연립다세대 매매 실거래자료,부동산 실거래가,국토관리,국토교통부,국토교통부
183,아파트매매 실거래자료,단독/다가구 매매 실거래 자료,부동산 실거래가,국토관리,국토교통부,국토교통부
184,연립다세대 매매 실거래자료,단독/다가구 매매 실거래 자료,부동산 실거래가,국토관리,국토교통부,국토교통부
185,(신)동네예보정보조회서비스,대기오염정보 조회 서비스,SimpleWeather,환경기상,기상청,한국환경공단
186,아파트매매 실거래자료,표준지공시지가정보서비스,ALL아파트,국토관리,국토교통부,국토교통부
187,아파트매매 실거래자료,개별공시지가정보서비스,ALL아파트,국토관리,국토교통부,국토교통부
188,표준지공시지가정보서비스,개별공시지가정보서비스,ALL아파트,국토관리,국토교통부,국토교통부
189,나라장터 사용자정보서비스,나라장터 조달요청서비스,모두입찰,공공행정,조달청,조달청
190,나라장터 사용자정보서비스,나라장터 계약정보서비스,모두입찰,공공행정,조달청,조달청
191,나라장터 사용자정보서비스,나라장터 입찰공고정보서비스,모두입찰,공공행정,조달청,조달청
192,나라장터 사용자정보서비스,나라장터 낙찰정보서비스,모두입찰,공공행정,조달청,조달청
193,나라장터 사용자정보서비스,나라장터 계약과정통합공개서비스,모두입찰,공공행정,조달청,조달청
194,나라장터 사용자정보서비스,나라장터 업종 및 근거법규서비스,모두입찰,공공행정,조달청,조달청
195,나라장터 사용자정보서비스,누리장터 민간입찰공고서비스,모두입찰,공공행정,조달청,조달청
196,나라장터 사용자정보서비스,조달청 물품관리정보서비스,모두입찰,공공행정,조달청,조달청
197,나라장터 사용자정보서비스,조달청 물품목록정보서비스,모두입찰,공공행정,조달청,조달청
198,나라장터 사용자정보서비스,공공조달통계정보서비스,모두입찰,공공행정,조달청,조달청
199,나라장터 사용자정보서비스,키스콘 건설업체정보 서비스,모두입찰,공공행정,조달청,국토교통부
200,나라장터 사용자정보서비스,입찰정보 조회 서비스,모두입찰,공공행정,조달청,한국전력공사
201,나라장터 사용자정보서비스,중소기업 인증정보 조회 서비스,모두입찰,공공행정,조달청,중소기업중앙회
202,나라장터 사용자정보서비스,입찰공고정보,모두입찰,공공행정,조달청,조달청
203,나라장터 사용자정보서비스,계약현황정보,모두입찰,공공행정,조달청,한국토지주택공사
204,나라장터 사용자정보서비스,군수품조달정보 입찰공고서비스,모두입찰,공공행정,조달청,방위사업청
205,나라장터 사용자정보서비스,군수품조달정보 코드조회서비스,모두입찰,공공행정,조달청,방위사업청
206,나라장터 사용자정보서비스,군수품조달정보 입찰결과서비스,모두입찰,공공행정,조달청,방위사업청
207,나라장터 조달요청서비스,나라장터 계약정보서비스,모두입찰,공공행정,조달청,조달청
208,나라장터 조달요청서비스,나라장터 입찰공고정보서비스,모두입찰,공공행정,조달청,조달청
209,나라장터 조달요청서비스,나라장터 낙찰정보서비스,모두입찰,공공행정,조달청,조달청
210,나라장터 조달요청서비스,나라장터 계약과정통합공개서비스,모두입찰,공공행정,조달청,조달청
211,나라장터 조달요청서비스,나라장터 업종 및 근거법규서비스,모두입찰,공공행정,조달청,조달청
212,나라장터 조달요청서비스,누리장터 민간입찰공고서비스,모두입찰,공공행정,조달청,조달청
213,나라장터 조달요청서비스,조달청 물품관리정보서비스,모두입찰,공공행정,조달청,조달청
214,나라장터 조달요청서비스,조달청 물품목록정보서비스,모두입찰,공공행정,조달청,조달청
215,나라장터 조달요청서비스,공공조달통계정보서비스,모두입찰,공공행정,조달청,조달청
216,나라장터 조달요청서비스,키스콘 건설업체정보 서비스,모두입찰,공공행정,조달청,국토교통부
217,나라장터 조달요청서비스,입찰정보 조회 서비스,모두입찰,공공행정,조달청,한국전력공사
218,나라장터 조달요청서비스,중소기업 인증정보 조회 서비스,모두입찰,공공행정,조달청,중소기업중앙회
219,나라장터 조달요청서비스,입찰공고정보,모두입찰,공공행정,조달청,조달청
220,나라장터 조달요청서비스,계약현황정보,모두입찰,공공행정,조달청,한국토지주택공사
221,나라장터 조달요청서비스,군수품조달정보 입찰공고서비스,모두입찰,공공행정,조달청,방위사업청
222,나라장터 조달요청서비스,군수품조달정보 코드조회서비스,모두입찰,공공행정,조달청,방위사업청
223,나라장터 조달요청서비스,군수품조달정보 입찰결과서비스,모두입찰,공공행정,조달청,방위사업청
224,나라장터 계약정보서비스,나라장터 입찰공고정보서비스,모두입찰,공공행정,조달청,조달청
225,나라장터 계약정보서비스,나라장터 낙찰정보서비스,모두입찰,공공행정,조달청,조달청
226,나라장터 계약정보서비스,나라장터 계약과정통합공개서비스,모두입찰,공공행정,조달청,조달청
227,나라장터 계약정보서비스,나라장터 업종 및 근거법규서비스,모두입찰,공공행정,조달청,조달청
228,나라장터 계약정보서비스,누리장터 민간입찰공고서비스,모두입찰,공공행정,조달청,조달청
229,나라장터 계약정보서비스,조달청 물품관리정보서비스,모두입찰,공공행정,조달청,조달청
230,나라장터 계약정보서비스,조달청 물품목록정보서비스,모두입찰,공공행정,조달청,조달청
231,나라장터 계약정보서비스,공공조달통계정보서비스,모두입찰,공공행정,조달청,조달청
232,나라장터 계약정보서비스,키스콘 건설업체정보 서비스,모두입찰,공공행정,조달청,국토교통부
233,나라장터 계약정보서비스,입찰정보 조회 서비스,모두입찰,공공행정,조달청,한국전력공사
234,나라장터 계약정보서비스,중소기업 인증정보 조회 서비스,모두입찰,공공행정,조달청,중소기업중앙회
235,나라장터 계약정보서비스,입찰공고정보,모두입찰,공공행정,조달청,조달청
236,나라장터 계약정보서비스,계약현황정보,모두입찰,공공행정,조달청,한국토지주택공사
237,나라장터 계약정보서비스,군수품조달정보 입찰공고서비스,모두입찰,공공행정,조달청,방위사업청
238,나라장터 계약정보서비스,군수품조달정보 코드조회서비스,모두입찰,공공행정,조달청,방위사업청
239,나라장터 계약정보서비스,군수품조달정보 입찰결과서비스,모두입찰,공공행정,조달청,방위사업청
240,나라장터 입찰공고정보서비스,나라장터 낙찰정보서비스,모두입찰,공공행정,조달청,조달청
241,나라장터 입찰공고정보서비스,나라장터 계약과정통합공개서비스,모두입찰,공공행정,조달청,조달청
242,나라장터 입찰공고정보서비스,나라장터 업종 및 근거법규서비스,모두입찰,공공행정,조달청,조달청
243,나라장터 입찰공고정보서비스,누리장터 민간입찰공고서비스,모두입찰,공공행정,조달청,조달청
244,나라장터 입찰공고정보서비스,조달청 물품관리정보서비스,모두입찰,공공행정,조달청,조달청
245,나라장터 입찰공고정보서비스,조달청 물품목록정보서비스,모두입찰,공공행정,조달청,조달청
246,나라장터 입찰공고정보서비스,공공조달통계정보서비스,모두입찰,공공행정,조달청,조달청
247,나라장터 입찰공고정보서비스,키스콘 건설업체정보 서비스,모두입찰,공공행정,조달청,국토교통부
248,나라장터 입찰공고정보서비스,입찰정보 조회 서비스,모두입찰,공공행정,조달청,한국전력공사
249,나라장터 입찰공고정보서비스,중소기업 인증정보 조회 서비스,모두입찰,공공행정,조달청,중소기업중앙회
250,나라장터 입찰공고정보서비스,입찰공고정보,모두입찰,공공행정,조달청,조달청
251,나라장터 입찰공고정보서비스,계약현황정보,모두입찰,공공행정,조달청,한국토지주택공사
252,나라장터 입찰공고정보서비스,군수품조달정보 입찰공고서비스,모두입찰,공공행정,조달청,방위사업청
253,나라장터 입찰공고정보서비스,군수품조달정보 코드조회서비스,모두입찰,공공행정,조달청,방위사업청
254,나라장터 입찰공고정보서비스,군수품조달정보 입찰결과서비스,모두입찰,공공행정,조달청,방위사업청
255,나라장터 낙찰정보서비스,나라장터 계약과정통합공개서비스,모두입찰,공공행정,조달청,조달청
256,나라장터 낙찰정보서비스,나라장터 업종 및 근거법규서비스,모두입찰,공공행정,조달청,조달청
257,나라장터 낙찰정보서비스,누리장터 민간입찰공고서비스,모두입찰,공공행정,조달청,조달청
258,나라장터 낙찰정보서비스,조달청 물품관리정보서비스,모두입찰,공공행정,조달청,조달청
259,나라장터 낙찰정보서비스,조달청 물품목록정보서비스,모두입찰,공공행정,조달청,조달청
260,나라장터 낙찰정보서비스,공공조달통계정보서비스,모두입찰,공공행정,조달청,조달청
261,나라장터 낙찰정보서비스,키스콘 건설업체정보 서비스,모두입찰,공공행정,조달청,국토교통부
262,나라장터 낙찰정보서비스,입찰정보 조회 서비스,모두입찰,공공행정,조달청,한국전력공사
