건축물대장,"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적,
오수정화시설, 주택가격, 전유부, 지역지구구역 등 속성정보(대용량 원시DB)",2015-12-24,2017-03-10,녹색건축과,044-201-3773,"['건축물대장 기본개요 조회', '건축물대장 총괄표제부 조회', '건축물대장 표제부 조회', '건축물대장 층별개요 조회', '건축물대장 부속지번 조회', '건축물대장 전유공용면적 조회', '건축물대장 오수정화시설 조회', '건축물대장 주택가격 조회', '건축물대장 전유부 조회', '건축물대장 지역지구구역 조회']"
부동산 지적정보,"법률로 지정된 행정구역 단위, 지적도 전산파일의 연속된 형태의 GIS데이터,
토지에 관련된 속성 정보, 측량의 기초가 되는 지적측량기준점 정보 등
부동산에 관한 종합정보 제공",2016-12-13,2018-01-16,국가공간정보센터,044-201-3495,"['법정구역도WFS조회', '연속지적도WFS조회', '지적도근점WFS조회', '지적삼각보조점WFS조회', '지적삼각점WFS조회', 'GIS건물통합WFS조회', '공업주제도WFS조회', '교육문화주제도WFS조회', '교통주제도WFS조회', '국토계획주제도WFS조회', '국토종합주제도WFS조회', '농업주제도WFS조회', '도시주제도WFS조회', '산림주제도WFS조회', '수산주제도WFS조회', '수자원주제도WFS조회', '재난주제도WFS조회', '정보통신주제도WFS조회', '지역주제도WFS조회', '환경에너지주제도WFS조회']"
지상자료 / 종관기상관측자료,"종관기상관측장비로부터 관측된 자료의 연(年)단위 파일을 조회하고 다운로드 받으실 수 있습니다.

종관기상관측이란 정해진 시각의 대기 상태를 파악하기 위해 모든 관측소에서 같은 시각에 실시하는 지상관측을 말하며, 관측방법은 기압, 기온, 풍향, 풍속, 상대습도, 강수량, 강수유무, 일사량, 일조시간, 지면온도, 초상온도, 지중온도, 토양수분, 지하수위 14개 요소에 대해서는 자동으로 관측하고, 시정, 구름, 증발량, 일기현상 등은 일부 자동과 목측(目測)으로 관측합니다.

*파일 명은 (지상코드)_(ASOS코드)_(지점번호)_(자료형태)_(관측시작연도)_(관측종료연도)_(자료생성연도).zip 형태로 되어있습니다.",2017-01-02,2018-04-30,국가기후데이터센터,02-2181-0887,['지상관측자료 월값(월보) 정보조회서비스']
전국 신규 민간 아파트 분양가격 동향,주택분양보증을 받아 분양한 전체 민간 신규아파트 분양가격 동향,2017-02-15,2017-02-16,일자리창출전략처,055-955-5746,[]
교통사고정보,"교통사고정보를 위치데이터 기반 제공
교통사고 항목 별 정보제공",2015-12-29,2018-06-01,통합DB처,033-749-5264,"['사망교통사고정보 Rest 조회', '사망교통사고정보 WMS 조회']"
생활기상지수조회,"각종 기상자료를 응용하여 일반 국민의 일상생활 및 보건에 활용할 수 있도록 생산된 정보인 생활기상지수( 부패지수, 체감온도 등)를 특정위치(지점번호)별로 조회할 수 있는 서비스 입니다.
*산불위험지수, 실효습도, 황사영향지수는 서비스 되지 않습니다.",2018-05-11,2018-05-11,"기상융합서비스과,기상기술융합팀",02-2181-0923,"['열지수', '불쾌지수', '동파가능지수', '대기확산지수', '식중독지수', '체감온도', '자외선지수', '더위체감지수']"
전국오염원 조사자료,"매년 전국 광역지자체(17개). 기초지자체(230개)에서 제출한 자료를 바탕으로 국립환경과학원에서 통계자료 등과 비교·검토하여 확정한 자료임. 조사항목은 생활계, 축산계, 산업계, 토지계(국토부자료), 양식계, 매립계, 환경기초시설, 기타수질오염원 8개 항목에 대하여 조사",2017-01-03,2017-11-29,-,032-560-7485,['토지계 정보조회']
서울메트로 지하철정보,지하철 역 정보 및 지하철 일반 정보에 관한 데이터입니다.,2017-12-28,2018-01-08,IT기획처,02-6311-9343,[]
전국 전주전산화번호(전주번호),전국 전주전산화번호(전주번호),2015-11-23,2015-11-30,ICT기획처 IT기획팀,061-345-5317,['전주전산화번호 정보 조회']
도로명주소 DB,"자체적으로 도로명주소 DB를 구축하고 활용하기 위한 전체 도로명주소, 일변동 도로명주소, 도로명코드 자료",2016-10-31,2016-11-03,주소정책과,02-2100-3666,['Real-time Address Information Search Service (OpenAPI)']
국토교통부_지하철정보,"전국 지하철 시간표, 지하철 출구정보, 출구 주변 정보 및 주변 버스정보 등을 조회할 수 있다.
지하철 정보는 키워드 기반 지하철역 목록조회, 지하철 역 출구별 버스노선 목록, 지하철역 출구별 주변 시설 목록, 지하철 시간표 조회가 가능하다.",2013-12-09,2018-01-16,신교통개발과,044-201-3822,"['키워드기반 지하철역 목록 조회', '지하철역출구별 버스노선 목록 조회', '지하철역출구별 주변 시설 목록 조회', '지하철역별 시간표 목록조회']"
건축인허가 정보,"건축인허가 정보에서 동별개요, 층별개요, 호별개요, 대수선, 공작물관리대장, 철거멸실관리대장, 가설건축물, 오수정화시설, 주차장, 부설주차장, 전유공용면적, 호별전유공용면적,
지역지구구역, 도로명대장, 대지위치, 주택유형 등 속성정보(대용량 원시DB)",2015-12-24,2016-10-12,녹색건축과,044-201-3773,"['건축인허가 기본개요 조회', '건축인허가 동별개요 조회', '건축인허가 층별개요 조회', '건축인허가 호별개요 조회', '건축인허가 대수선 조회', '건축인허가 공작물관리대장 조회', '건축인허가 철거멸실관리대장 조회', '건축인허가 가설건축물 조회', '건축인허가 오수정화시설 조회', '건축인허가 주차장 조회', '건축인허가 부설주차장 조회', '건축인허가 전유공용면적 조회', '건축인허가 호별전유공용면적 조회', '건축인허가 지역지구구역 조회', '건축인허가 도로명대장 조회', '건축인허가 대지위치 조회', '건축인허가 주택유형 조회']"
지상자료 / 자동기상(AWS)관측자료,"자동기상관측장비로부터 관측된 자료의 연(年)단위 파일을 조회하고 다운로드 받으실 수 있습니다.

자동기상관측장비는 기상관측소가 없는 곳에 설치되어 집중호우, 우박, 뇌우, 돌풍 등과 같은 국지 적인 악기상 현상을 실시간으로 감시합니다.

*파일 명은 (지상코드)_(AWS장비코드)_(지점번호)_(자료형태)_(관측시작연도)_(관측종료연도)_(자료생성연도).zip 형태로 되어있습니다.",2016-12-12,2018-04-30,국가기후데이터센터,02-2181-0887,['방재관측자료(AWS) 월값(월보) 정보조회서비스']
조달청_입찰공고정보,나라장터 공고현황 정보를 조회 할 수 있는 서비스이다.,2018-05-11,2018-05-15,전자조달기획과,042-724-7124,"['입찰공고목록 정보에 대한 공사조회', '입찰공고목록 정보에 대한 용역조회', '입찰공고목록 정보에 대한 외자조회', '입찰공고목록 정보에 대한 물품조회', '입찰공고목록 정보에 대한 물품기초금액조회', '입찰공고목록 정보에 대한 공사기초금액조회', '입찰공고목록 정보에 대한 용역기초금액조회', '입찰공고목록 정보에 대한 물품변경이력조회', '입찰공고목록 정보에 대한 공사변경이력조회', '입찰공고목록 정보에 대한 용역변경이력조회', '나라장터검색조건에 의한 입찰공고공사조회', '나라장터검색조건에 의한 입찰공고용역조회', '나라장터검색조건에 의한 입찰공고외자조회', '나라장터검색조건에 의한 입찰공고물품조회', '입찰공고목록 정보에 대한 면허제한정보조회', '입찰공고목록 정보에 대한 참가가능지역정보조회', '입찰공고목록 정보에 대한 물품 구매대상물품조회', '입찰공고목록 정보에 대한 용역 구매대상물품조회', '입찰공고목록 정보에 대한 외자 구매대상물품조회', '입찰공고목록 정보에 대한 e발주 첨부파일정보조회']"
온라인 수집 가격 정보,"온라인 가격정보를 수집하여 품목별 가격동향 파악, 시의성 있는 물가관련 분석 등 가격데이터를 활용한 분석이 가능하도록 120여개 품목 가격데이터를 제공",2015-01-05,2017-05-30,빅데이터통계과,042-481-6916,"['가격정보', '품목정보']"
노선정보조회 서비스,노선에 대한 정보 제공,2011-12-03,2018-04-17,,,"['getStaionsByRouteList', 'getRouteInfoItem', 'getRoutePathList', 'getBusRouteList']"
국토교통부_버스정류소정보,"전국 및 지방자치단체 시내버스 정류소 정보를 정류장정보 테이블의 정보를 활용하여 제공하며, 정류소 번호, 정류소 GPS 위치정보를 기반으로 정류소 정보를 활용할 수 있다.",2013-12-09,2018-01-16,신교통개발과,044-201-3822,"['정류소번호목록조회', '좌표기반근접정류소목록조회', '도시코드 목록 조회']"
축산물품질평가원 축산물이력정보,"축산물(쇠고기, 돼지고기) 개체 및 이동 등 도축부터 검사, 판매에 이르기끼지의 이력정보를 제공",2016-09-20,2017-10-31,정보사업팀,044-410-7746,['축산물DNA동일성검사 업소정보 조회']
ODA 통계 정보,"ODA 사업의 양자간다자간, 유형별, 분야별, 지역별 통계 자료 엑셀로 제공",2017-07-31,2017-08-08,정보화전략실,031-740-0293,"['양/다자간 통계 정보', '정책마커별 통계 정보', '소득수준별 통계 정보', '사업유형별 통계 정보', '사업분야별 통계 정보', '지역별 통계 정보', '유형별 수원 상위표 통계 정보', '유형별 DAC분야별 통계 정보']"
수산물 위판정보,"수산물 위판정보는 수협 산지조합에서 위판되는 정보를 관리하는 목록으로 기본적인 산지조합에 대한 기본정보, 위판장에 대한 기본정보, 위판장별로 위탁판매되는 수산물에 대한 가격 및 물량정보에 대한 현황 및 집계 정보를 제공하는 목록입니다.",2016-01-04,2017-10-30,소득복지과,044-200-5470,['위판장별 위탁판매 현황 조회']
정류소정보조회 서비스,정류소에 대한 정보 제공,2011-12-03,2018-04-17,,,"['getStationByNameList', 'getStationByUidItem', 'getRouteByStationList', 'getBustimeByStationList', 'getLowStationByNameList', 'getLowStaionByUidList', 'getStaionsByPosList']"
재난상황전파 정보,재난상황 발생 시 유관기관에 공유되는 재난정보,2016-05-10,2016-05-16,정보통계담당관실,02-2100-3050,['재난상황 메시지 정보']
한국소비자원 생필품 및 서비스 가격 정보,"한국소비자원 참가격정보서비스에 접수된 상품별 생필품 가격 데이터 현황(상품명, 판매업소, 판매가격 등)
서비스 가격 정보(공공요금, 개인서비스요금, 외식비)
생필품 가격동향(상품별, 지역별, 업체별, 제조업체별)
생필품 할인 정보
생필품 가격정보(API)",2015-03-17,2018-04-12,빅데이터사업단,043-880-5783,"['상품정보 조회', '판매점 정보 조회', '생필품가격정보 조회', '생필품 가격 정보 기준 데이터 조회']"
한국동서발전 발전량 현황,발전소별 월별 발전현황 제공,2014-12-24,2014-12-24,ICT총괄팀,070-5000-1486,['발전실적 조회 서비스']
버스도착정보조회 서비스,특정 정류소에 대한 버스 도착예정 정보 제공,2011-12-03,2018-04-17,,,"['getArrInfoByRouteAllList', 'getArrInfoByRouteList', 'getLowArrInfoByStIdList', 'getLowArrInfoByRouteList']"
버스위치정보조회 서비스,실시간 버스위치 정보 제공,2011-12-03,2018-04-17,,,"['getBusPosByRouteStList', 'getLowBusPosByRtidList', 'getBusPosByVehIdItem', 'getBusPosByRtidList', 'getLowPosImgByRtidItem', 'getLowPosImgByRouteStItem', 'getLowBusPosByRouteStList', 'getPosImgByRtidItem', 'getPosImgByRouteStItem']"
국토교통부_버스노선정보,"전국 및 지방자치단체 시내버스 노선 정보를 정류장정보 테이블의 정보를 활용하여 제공하며, 노선번호 목록, 노선별 경유 정류소 목록, 노선정보항목 등을 조회할 수 있다.",2013-12-09,2018-01-16,신교통개발과,044-201-3822,"['노선번호목록조회', '노선별경유정류소목록조회', '노선정보항목조회', '도시코드 목록 조회']"
한국사회적기업진흥원_사회적기업 정보,고용노동부 인증 사회적기업 현황 자료,2014-12-29,2018-05-11,기획홍보팀,031-697-7814,['Social Enterprise List']
파산금융기관 매물현황(정보),파산금융기관이 보유하고 있는 부동산 매물에 대한 세부정보,2016-04-12,2017-09-19,회수총괄부,02-758-0448,"['부동산/특수부동산 매물 목록', '일반부동산 매물 상세내역', '특수부동산 매물 상세내역', '회원권/유가증권 매물 목록', '회원권/유가증권 매물 상세내역', '미술품 매물 목록', '미술품 매물 상세내역', '기타 매물 목록', '기타 매물 상세내역']"
건강보험심사평가원 요양기관 현황정보,"지역별, 요양기관종별, 표시과목별 요양기관수 등 요양기관의 현황 데이터",2016-12-14,2016-12-14,의료정보융합실,033-739-1083,['병원약국개폐업목록조회']
건강보험심사평가원 요양기관 현황정보,"지역별, 요양기관종별, 표시과목별 요양기관수 등 요양기관의 현황 데이터",2016-12-14,2016-12-14,의료정보융합실,033-739-1083,['병원약국개폐업목록조회']
우편번호 다운로드 서비스,우편번호 DB 원본 다운로드 URL을 조회하여 다운로드 받을 수 있도록 하는 기능을 제공합니다.,2015-08-24,2016-06-29,우정사업정보센터 인터넷우체국팀,061-0338-2227,['우편번호 DB 다운로드 서비스']
건물정보,건축물 위치자료와 속성자료를 식별자로 연계한 건물통합정보 제공(GIS건물통합정보),2016-09-27,2017-12-06,,,"['부동산중개업WMS조회', '부동산중개업WFS조회', '부동산중개업사무소정보조회', '부동산중개업자정보조회']"
학자금 대출 통계 정보,"정부가 지원하는 학자금 대출 규모(금액, 인원)",2015-06-26,2015-06-29,,,['Student Loan Statistics']
토지정보,국토의 이용현황을 주제별(용도지역지구)로 제공,2016-09-27,2017-12-06,국가공간정보센터,044-201-3495,"['토지이용계획WMS조회', '토지이용계획WFS조회', '토지이용계획속성조회']"
성범죄자 지역별 통계,아동과 성인대상 성범죄로 법원에서 신상정보 공개명령을 선고받아 성범죄자알림e에 공개하는 성범죄자수에 대한 지역별 통계,2016-01-26,2016-01-27,아동청소년성보호과,02-2100-6406,['실시간 통계 현황']
보건기상지수,"기후변화에 능동적으로 신체를 대처할수 있는 보건기상지수(뇌졸중가능지수, 피부질환가능지수, 감기가능지수, 꽃가루농도위험지수 등 5종)를 특정위치(지점번호)별로 조회할 수 있는 서비스 입니다.",2017-07-04,2018-01-19,"기상융합서비스과,기상기술융합팀",02-2181-0923,"['천식폐질환가능지수', '꽃가루농도위험지수(참나무)', '꽃가루농도위험지수(잡초류)', '꽃가루농도위험지수(소나무류)', '감기가능지수', '뇌졸증가능지수', '피부질환가능지수']"
전국 박물관 유물정보,국립중앙박물관을 포함한 104개 협력 박물관의 약 15만건의 유물정보에 대한 목록 및 상세 정보 제공,2017-04-17,2018-04-18,기획총괄과,02-2077-9110,"['코드 목록 조회', '소장품 목록 조회', '소장품 상세 조회']"
낙뢰관측 정보,"낙뢰감시기를 통해 관측된 낙뢰 발생 지점의 경도, 위도별 정보",2015-11-23,2015-11-30,,,['낙뢰정보 검색결과 조회']
서울특별시 도로명주소 정보,"서울시 내의 지번주소와 도로명주소, 좌표정보를 제공합니다",2016-10-26,2016-10-27,정보시스템담당관,02-6361-3192,['서울시 도로명 주소 조회 서비스']
건강보험심사평가원 질병별 진료 통계,"질병 소분류(3단 상병), 질병 세분류(4단 상병)별 통계(환자수, 진료비 등)",2016-12-14,2016-12-14,의료정보융합실,033-739-1083,['의원진료상위질병5개목록조회']
대중교통환승경로 조회 서비스,목적지로의 이동 경로에 대한 정보 제공,2011-12-03,2018-04-17,,,"['getPathInfoByBusList', 'getPathInfoByBusNSubList', 'getPathInfoBySubwayList', 'getLocationInfoList']"
전국 병‧의원 찾기 서비스,"전국 병‧의원 정보를 조회하기 위한 서비스로서 주소별, 기관별로 조회할 수 있다",2017-03-22,2017-03-23,중앙응급의료센터,02-2274-8371,"['병‧의원 목록정보 조회', '병‧의원 위치정보 조회', '병‧의원별 기본정보 조회', '달빛어린이병원 및 소아전문센터 목록정보 조회', '달빛어린이병원 위치정보 조회', '병/의원 FullData 내려받기']"
일간전력수요예측,전일 예측한 일간 육지 시간대별 전력수요 정보,2015-12-01,2018-01-16,정보기술처,061-330-8714,['전력수급예보조회']
국토지리정보원 지도서비스,"공간영상정보의 지도에 대한 정보(지도확대.축소정보조회, 지도이동정보조회, 사용자레이어중첩정보조회, 제작시기범례정보조회, 시대기반항공사진이미지정보조회, 시대기반위성사진이미지정보조회, 시대기반정사영상이미지정보조회)를 제공한다.",2013-12-02,2017-08-21,,,['행정구역코드정보조회']
조달청_조달정보 종합분석정보,조달실적을 종합적으로 분석한 정보,2018-05-09,2018-05-15,전자조달기획과,042-724-7124,"['데이터셋 개방표준에 따른 입찰공고정보', '데이터셋 개방표준에 따른 낙찰정보', '데이터셋 개방표준에 따른 계약정보']"
국토교통부_버스도착정보,"전국 및 지방자치단체 시내버스 정류소에 따른 버스 도착정보를 정류장정보, 도착예정정보, 노선운행정보, 위치정보 테이블을 활용하여 제공한다. 조회는 정류소별, 정류소별 특정노선에 대한 도착정보를 조회할 수 있다.",2013-12-09,2018-01-16,신교통개발과,044-201-3822,"['정류소별도착예정정보목록조회', '정류소별특정노선버스도착예정정보목록조회', '도시코드 목록 조회']"
축산물품질평가원 축산물등급판정정보,"축산물(소·돼지·닭·계란·오리)에 대한 등급판정 결과, 고기 및 부산물 정보, 도매시장 정보, 경매 현황, 도페, 육질/육량 경락가격정보, 권역별 경략가격정보 등 축산물 등급 판정 및 경매에 관한 전반적인 정보 서비스를 제공함",2013-12-04,2018-02-26,정보사업팀,044-410-7746,"['축산물 돼지도체 경락가격 상세정보', '소 권역별 경락가격현황', '돼지 권역별 경락가격 현황', '축산물 소도체 경락상세정보', '돼지도체 등급별 경락가격정보를 조회', '소 등급판정결과(확인서)정보', '소 등급판정(확인서) 부위별고기및 부산물 정', '축산물 돼지 등급판정결과(확인서) 정보', '돼지 등급판정 부위별고기및부산물 정보', '소 도매시장 정보', '축산물 실시간 경매시황중계정보', '실시간 소도체 경매현황 조회', '축산물 실시간 소도체 등급별경매현황정보', '축산물 실시간 돼지도체 경매세부현황정보', '축산물 실시간 돼지도체 등급별경매현황정보', '축산물 도매시장 소도체 등급별 경락가격정', '축산물 소도체 육질육량 등급별 경락가격정']"
고속도로 휴게소 현황,고속도로 휴게소 현황,2017-06-09,2017-12-27,ICT센터,031-8098-6727,['휴게소 푸드메뉴현황']
조달청_낙찰정보,"나라장터 개찰결과, 최종낙찰자 정보를 조회 할 수 있는 서비스이다.",2018-05-11,2018-05-11,전자조달기획과,042-724-7124,"['낙찰된 목록 현황 물품조회', '낙찰된 목록 현황 공사조회', '낙찰된 목록 현황 용역조회', '낙찰된 목록 현황 외자조회', '개찰결과 물품 목록 조회', '개찰결과 공사 목록 조회', '개찰결과 용역 목록 조회', '개찰결과 외자 목록 조회', '개찰결과 물품 예비가격상세 목록 조회', '개찰결과 공사 예비가격상세 목록 조회', '개찰결과 용역 예비가격상세 목록 조회', '개찰결과 외자 예비가격상세 목록 조회', '개찰결과 개찰완료 목록 조회', '개찰결과 유찰 목록 조회', '개찰결과 재입찰 목록 조회', '나라장터 검색조건에 의한 개찰결과 외자 목록 조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 물품조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 공사조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 용역조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 외자조회', '나라장터 검색조건에 의한 개찰결과 물품 목록 조회', '나라장터 검색조건에 의한 개찰결과 공사 목록 조회', '나라장터 검색조건에 의한 개찰결과 용역 목록 조회']"
조달청_낙찰정보,"나라장터 개찰결과, 최종낙찰자 정보를 조회 할 수 있는 서비스이다.",2018-05-11,2018-05-11,전자조달기획과,042-724-7124,"['낙찰된 목록 현황 물품조회', '낙찰된 목록 현황 공사조회', '낙찰된 목록 현황 용역조회', '낙찰된 목록 현황 외자조회', '개찰결과 물품 목록 조회', '개찰결과 공사 목록 조회', '개찰결과 용역 목록 조회', '개찰결과 외자 목록 조회', '개찰결과 물품 예비가격상세 목록 조회', '개찰결과 공사 예비가격상세 목록 조회', '개찰결과 용역 예비가격상세 목록 조회', '개찰결과 외자 예비가격상세 목록 조회', '개찰결과 개찰완료 목록 조회', '개찰결과 유찰 목록 조회', '개찰결과 재입찰 목록 조회', '나라장터 검색조건에 의한 개찰결과 외자 목록 조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 물품조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 공사조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 용역조회', '나라장터 검색조건에 의한 낙찰된 목록 현황 외자조회', '나라장터 검색조건에 의한 개찰결과 물품 목록 조회', '나라장터 검색조건에 의한 개찰결과 공사 목록 조회', '나라장터 검색조건에 의한 개찰결과 용역 목록 조회']"
한국수출입은행 환율 정보,환율 DB,2017-08-08,2017-08-08,기획부,02-3779-6058,[]
전력시장가격 정보,전일 결정한 육지지역 일간 시간대별 전력시장가격,2015-11-27,2018-05-11,정보기술처,061-330-8714,['계통한계가격조회']
전국 약국 정보 조회 서비스,"전국 약국 정보를 조회하기 위한 서비스로서 주소별, 진료요일별 및 시간대로 조회할 수 있다",2017-03-16,2017-03-21,중앙응급의료센터,02-2274-8371,"['약국 목록정보 조회', '약국 위치정보 조회', '약국별 기본정보 조회', '약국 FullData 내려받기']"
자연재해 복구비 지원현황,"자연재해상황, 복구비지원내역에 대한 기간별, 지역별 재해연보의 통계정보",2017-03-21,2017-06-16,정보통계담당관실,02-2100-3050,"['기간별자연재해상황 조회', '시도별자연재해상황 조회', '시군구별자연재해상황 조회', '월별자연재해상황 조회', '원인별자연재해상황 조회']"
수산물 수협 물류센터/공판장 재고정보,수산물 수협 물류센터/공판장 재고정보는 수협이 운영하고 있는 물류센터나 공판장 기본정보 및 해당 물류센터 및 공판장에 입출고 되는 품목에 대한 정보 및 품목별 재고정보를 제공하는 목록입니다.,2016-01-04,2017-10-30,소득복지과,044-200-5470,['수협 물류센터/공판장 품목별 재고 현황 조회']
주택건설사업계획승인 정보,"주택건설사업계획승인 정보에서 관리하는 동별개요, 층별개요, 호별개요, 부대시설,
오수정화시설, 주차장, 부설주차장, 전유공용면적, 행위호전유면적, 행위개요,
관리공동형별개요, 관리공동부대복리시설, 지역지구구역, 대지위치, 복리분양시설 등
속성정보(대용량 원시DB)",2015-12-24,2016-10-12,녹색건축과,044-201-3773,"['주택인허가 기본개요 조회', '주택인허가 동별개요 조회', '주택인허가 층별개요 조회', '주택인허가 호별개요 조회', '주택인허가 부대시설 조회', '주택인허가 오수정화시설 조회', '주택인허가 주차장 조회', '주택인허가 부설주차장 조회', '주택인허가 전유공용면적 조회', '주택인허가 행위호전유공용면적 조회', '주택인허가 행위개요 조회', '주택인허가 관리공동형별개요 조회', '주택인허가 관리공동부대복리시설 조회', '주택인허가 지역지구구역 조회', '주택인허가 복리분양시설 조회', '주택인허가 대지위치 조회']"
한국동서발전 대기오염 물질 배출량,발전소의 대기오염물질 배출현황,2014-12-24,2017-07-11,ICT총괄팀,070-5000-1486,['대기오염물질 배출농도 조회서비스']
수질 DB,"(수집방법) 본 데이터는 물환경측정망 운영계획 및 조류경보제 운영매뉴얼, 환경정책기본법 제22조, 수질및수생태계보전에 관한 법률 제9조, 16조, 22조, 23조, 법 제 16조의 2(방사성물질 등의 유입 여부 조사) 및 시행규칙 제26조의 4에 따라 물환경정보시스템을 통해 자료를 수집함

(데이터 한계) 수질 데이터는 물환경측정망 운영계획, 조류경보제 운영매뉴얼 등을 기준으로 각 데이터에 대한 측정주기와 측정항목이 정해져 있음",2017-05-04,2018-01-12,연구전략기획과,032-560-7088,"['수질자동측정망 운영결과 DB', '물환경 수질측정망 운영결과 DB', '토양지하수 먹는물 공동시설 운영결과 DB', '방사성물질측정망 운영결과 DB']"
예보구역정보조회,예보구역코드 정보를 조회하는 서비스입니다,2012-12-06,2017-10-17,정보통신기술과,,['예보구역코드조회']
제주특별자치도_제주도 관광산업 빅데이터 분석정보,제주특별자치도 관광사업 관련 빅데이터 제공,2017-03-30,2017-03-31,정보화담당관,064-710-2344,['제주 월별 입도객 정보 조회']
고속도로 세부교통량 현황,고속도로 세부교통량 현황,2014-12-15,2017-12-27,ICT센터,031-8098-6727,['노선별 방향별 일별 15분 구간교통량']
조달청_나라장터 수요기관 및 조달업체 정보,나라장터 수요기관 및 조달업체 정보,2016-12-28,2018-04-06,전자조달기획과,042-724-7124,"['수요기관정보조회', '조달업체 기본정보', '조달업체업종정보조회', '조달업체공급물품정보조회']"
지하철 주변 주요시설 정보,역코드 및 역외부코드로 지하철 주변 주요시설 정보를 검색 할 수 있는 API입니다.,2017-12-28,2018-01-08,IT기획처,02-6311-9343,[]
육군 신체측정정보,"육군 신병 신체치수 측정정보(키, 몸무게, 허리둘레, 머리둘레 등)",2014-12-23,2014-12-23,육본 정보체계관리과,042-550-5211,[]
